comment,date,author,like_count,reply_count
"I have heard her story from my Nani, they were from same village, she saw her in her childhood. And here we go with SR PAY 💁‍♀️💁‍♀️",2023-02-28T07:26:28Z,Soumya Singh,0,0
I have watched that movie,2023-02-26T09:48:27Z,Shruti Rathod,0,0
"She is the real feminist of his time
Not like some bitches who fight for  just want to show there body",2023-02-25T10:25:49Z,Prince THAKUR ,0,0
Name of the movie ???,2023-02-24T20:40:35Z,Kavneet Kaur Walia,0,0
I have a littel question after all these many rapes how did the girl (phoolan devi) not got pregnant.. ab esa to hai nhi ki rapist will pull out so why is there no mention of any pregnancy or any child,2023-02-23T17:16:04Z,Anuj Tiwari,0,1
,2023-02-23T17:13:14Z,Raj Bhushan,0,0
This story was so touching.,2023-02-22T20:20:16Z,Aaniket Mishra,0,0
I don't think you should support people like Phoolan and Sher Singh Rana was not arrested he surrender,2023-02-22T14:03:09Z,Anand Rathore,0,0
"Will anyone talk about the way he was calling the 38 yr old man ""budhelal"" like it was so funny-",2023-02-22T11:40:30Z,Dandelions~,1,0
I saw this movie on banded queen on YouTube that movie was awesome,2023-02-22T03:47:42Z,Satyam Yadav,0,0
Online vikhari....,2023-02-21T17:19:37Z,rakesh Kalita,0,0
U look like Sharukh khan son Aryan Khan 😀,2023-02-21T15:40:55Z,trisha nagle,0,0
I think you are missing something 😃,2023-02-20T16:18:44Z,ベンダー火,0,0
Apke case btane ka tarika and silent voice with background 🔥🔥🔥🔥,2023-02-20T09:11:51Z,b girl spark,0,0
Jealousy?? Kal ko koi tere baap ko mar dega toh tu badla lega ya use bhi jealousy bolega?? Don't put your own opinion in these videos i accept she had a hard life but she got what she deserved for taking 20 lives,2023-02-19T12:52:22Z,Rookie,0,0
Your way of explaining the things.... I love it ❤❤,2023-02-19T10:41:23Z,T.R Singh parihar,0,0
Please do research about sher singh rana he is the hero ... You guy's don't know about him  please don't misunderstand me phulan devi is the legend but first you should know about sher singh rana 🙏🙏🙏 he just   build prithvi raj  chouhan  temple from Afghanistan real body 🙏🙏,2023-02-18T17:35:47Z,Rahul Kumar,2,0
What's up with all these praisers in the comments? She was a bloody criminal and deserved the assassination. Facing unfortunate circumstances does not give you the right to become a criminal and kill innocent people. I don't support taking law in one's own hands but I am glad someone put her down for good before she became more influential.,2023-02-18T08:46:53Z,helloCREEP,1,0
"Be my Vikram I'll be your Phoolan 
Aish sounds so good 🤧✌️",2023-02-17T20:35:08Z,BTSArmyforever🌼💜,1,0
kudos to phoolan devi......rip devi,2023-02-17T17:50:19Z,Sankalp Mangalkar,0,0
